,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,game_home_ID,game_away_ID,Wk_h,Wk_a,rating_h_gk,rating_h_df,rating_h_mf,rating_h_att,rating_h_bench,influence_h,creativity_h,threat_h,bps_h,selected_h,rating_a_gk,rating_a_df,rating_a_mf,rating_a_att,rating_a_bench,influence_a,creativity_a,threat_a,bps_a,selected_a
0,2020-09-12,12:30,Fulham,Arsenal,0,3,A,Fulham2020-09-12,Arsenal2020-09-12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-09-12,15:00,Crystal Palace,Southampton,1,0,H,Crystal Palace2020-09-12,Southampton2020-09-12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-09-12,17:30,Liverpool,Leeds United,4,3,H,Liverpool2020-09-12,Leeds United2020-09-12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-09-12,20:00,West Ham United,Newcastle United,0,2,A,West Ham United2020-09-12,Newcastle United2020-09-12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-09-13,14:00,West Bromwich Albion,Leicester City,0,3,A,West Bromwich Albion2020-09-13,Leicester City2020-09-13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-09-13,16:30,Tottenham Hotspur,Everton,0,1,A,Tottenham Hotspur2020-09-13,Everton2020-09-13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-09-14,20:15,Brighton & Hove Albion,Chelsea,1,3,A,Brighton & Hove Albion2020-09-14,Chelsea2020-09-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-09-14,18:00,Sheffield United,Wolverhampton Wanderers,0,2,A,Sheffield United2020-09-14,Wolverhampton Wanderers2020-09-14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-09-19,12:30,Everton,West Bromwich Albion,5,2,H,Everton2020-09-19,West Bromwich Albion2020-09-19,2,2,70.12186915400437,111.35551019165905,62.614968715469914,128.3912844151991,30.986962849628515,276.20000000000005,169.9,156.0,268.0,2547080.0,49.97551904205018,104.24104549493302,25.404638418361234,54.20205968716846,16.646592123603885,89.59999999999998,56.30000000000001,49.0,79.0,396459.0
9,2020-09-19,15:00,Leeds United,Fulham,4,3,H,Leeds United2020-09-19,Fulham2020-09-19,2,2,36.43900610648398,107.42432848802017,134.2180585223951,36.579793880710085,28.56425370603254,300.4,57.4,96.0,196.0,1544838.0,0.0,101.61642928134225,38.717345641448674,52.923501792526395,93.52215239174822,84.4,55.39999999999999,19.0,68.0,1733723.0
10,2020-09-19,17:30,Manchester United,Crystal Palace,1,3,A,Manchester United2020-09-19,Crystal Palace2020-09-19,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.94734645239488,57.745746855375664,68.39866637871168,66.49242901265676,12.987625873452927,166.39999999999995,56.900000000000006,65.0,138.0,2035627.0
11,2020-09-19,20:00,Arsenal,West Ham United,2,1,H,Arsenal2020-09-19,West Ham United2020-09-19,2,2,46.47977049509452,137.3975815430513,20.119937179302035,175.81878044615536,76.29094719927791,222.0,112.4,202.0,217.0,4957934.0,32.968907316281985,164.1319327075932,66.3645442549733,58.38236845900333,58.74285873287002,135.20000000000002,127.89999999999999,155.0,98.0,1773835.0
12,2020-09-20,12:00,Southampton,Tottenham Hotspur,2,5,A,Southampton2020-09-20,Tottenham Hotspur2020-09-20,2,2,48.23673797087457,177.17341265523228,39.05794036389859,62.1620607886038,44.68918957597933,132.20000000000002,85.69999999999999,108.0,103.0,4788862.0,52.814271522888006,99.33328889595859,33.25698120221834,76.12303972969644,67.33638252577747,123.60000000000001,123.39999999999999,162.0,84.0,4954437.0
13,2020-09-20,14:00,Newcastle United,Brighton & Hove Albion,0,3,A,Newcastle United2020-09-20,Brighton & Hove Albion2020-09-20,2,2,58.79197987880689,76.96219504669565,112.2433618933243,74.45596999173489,36.7077168632356,253.6,159.99999999999997,152.0,239.0,2375966.0,31.06271505224011,193.297636740028,47.82227711162358,52.20950185970911,28.176053518546098,174.0,116.00000000000001,121.0,149.0,2512740.0
14,2020-09-20,16:30,Chelsea,Liverpool,0,2,A,Chelsea2020-09-20,Liverpool2020-09-20,2,2,38.48294265208772,127.22916966117121,61.47479239421808,95.54641011732947,35.14126064296031,279.4,116.0,141.0,198.0,5172502.0,19.135295122042265,92.56103071443286,62.26177701061958,143.56430451612778,15.24278305101674,249.4,184.2,383.0,194.0,9628353.0
15,2020-09-20,19:00,Leicester City,Burnley,4,2,H,Leicester City2020-09-20,Burnley2020-09-20,2,1,41.34828975559744,164.52357556138085,131.0136350941816,53.893008395981525,8.314245300554585,261.40000000000003,76.2,211.0,253.0,4129494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-09-21,18:00,Aston Villa,Sheffield United,1,0,H,Aston Villa2020-09-21,Sheffield United2020-09-21,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08395301577771,96.7517847959272,135.66199932465733,2.1057390281004325,53.101598058437695,102.0,116.19999999999999,64.0,98.0,3251492.0
17,2020-09-21,20:15,Wolverhampton Wanderers,Manchester City,1,3,A,Wolverhampton Wanderers2020-09-21,Manchester City2020-09-21,2,1,41.63336214093684,121.65998435059575,59.321845263752586,87.97455482495434,31.637621560643467,256.0,105.7,107.0,228.0,3928386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-09-26,12:30,Brighton & Hove Albion,Manchester United,2,3,A,Brighton & Hove Albion2020-09-26,Manchester United2020-09-26,3,2,33.32430582181709,153.80356511510334,38.07067725199389,113.94742987253835,17.11536600829856,198.0842105263158,117.55789473684212,118.52631578947368,192.00000000000006,2401642.7894736845,32.93852969747181,165.21959539887712,73.95875807751989,61.92829923453582,84.06785298816814,113.39999999999999,141.40000000000003,115.0,85.0,5621788.0
19,2020-09-26,15:00,Crystal Palace,Everton,1,2,A,Crystal Palace2020-09-26,Everton2020-09-26,3,3,61.31050337597379,61.45460226720922,69.4069679346737,89.10247469125662,17.066469073107214,223.91578947368424,78.49473684210527,108.47368421052633,156.94736842105263,2458857.8421052634,49.64004595647436,153.49504440934592,52.75484785799118,182.20185247427347,34.1473484901902,317.14736842105265,176.00526315789475,232.8421052631579,277.47368421052636,3685158.4210526315
20,2020-09-26,17:30,West Bromwich Albion,Chelsea,3,3,D,West Bromwich Albion2020-09-26,Chelsea2020-09-26,3,3,37.17327234322481,72.55417640481484,108.35011997447106,25.479937944594045,10.938364248907236,153.93684210526317,53.81052631578948,65.8421052631579,98.57894736842107,339954.1578947369,0.0,94.1691624191703,69.15826460930819,36.085794534330276,97.11036514863352,125.87368421052632,68.38947368421053,70.15789473684211,99.57894736842105,5259561.947368422
21,2020-09-26,20:00,Burnley,Southampton,0,1,A,Burnley2020-09-26,Southampton2020-09-26,2,3,32.57306650948345,80.95975406737776,103.50325764771993,75.03457537418538,6.466635233764677,227.20000000000005,141.4,133.0,144.0,2597214.0,26.212019428200083,131.37696295883276,61.96095947541591,78.1544661186118,67.44009084487719,145.50526315789477,93.78947368421053,133.42105263157896,124.21052631578948,4614096.894736842
22,2020-09-27,12:00,Sheffield United,Leeds United,0,1,A,Sheffield United2020-09-27,Leeds United2020-09-27,3,3,32.12479488799607,82.89643228201744,30.125203670037482,14.821521016503137,48.1280660284616,82.01052631578949,50.88947368421052,48.21052631578948,67.05263157894738,2141486.368421053,37.147947006988126,128.2082110653755,98.93388998909586,69.92843497418238,24.22647311858643,303.8105263157895,86.20526315789475,110.73684210526318,213.1052631578948,1772162.263157895
23,2020-09-27,14:00,Tottenham Hotspur,Newcastle United,1,1,D,Tottenham Hotspur2020-09-27,Newcastle United2020-09-27,3,3,51.34603054662773,93.71825371470392,31.786416168446728,167.8812246141046,55.265283250619156,237.4842105263158,100.31052631578947,144.63157894736844,159.42105263157893,4728410.894736842,48.524431757945536,81.88403780790088,45.075898652656875,51.973282032932424,46.38904840230264,156.84210526315792,98.5263157894737,80.6842105263158,144.47368421052633,1446605.3684210526
24,2020-09-27,16:30,Manchester City,Leicester City,2,5,A,Manchester City2020-09-27,Leicester City2020-09-27,2,3,26.999597009016,139.83165803152448,135.92618625530488,101.68632815421321,11.105407516188226,232.00000000000003,136.7,141.0,161.0,4261167.0,44.09139976076109,126.219607535125,47.8080697415795,118.35599176539807,35.534766191158724,251.6736842105263,126.23684210526316,214.8947368421053,209.31578947368422,4672021.052631579
25,2020-09-27,19:00,West Ham United,Wolverhampton Wanderers,4,0,H,West Ham United2020-09-27,Wolverhampton Wanderers2020-09-27,3,3,31.917826948343507,115.1167978034791,95.51555254392875,34.181088054922164,45.641753322492576,134.49473684210525,131.42105263157896,154.47368421052633,111.42105263157896,1546004.8947368423,48.95116165321696,77.43373021884823,39.57775248334171,108.08075835053059,17.928067054149246,199.9473684210527,94.84736842105264,95.42105263157896,156.10526315789474,4702177.578947369
26,2020-09-28,17:45,Fulham,Aston Villa,0,3,A,Fulham2020-09-28,Aston Villa2020-09-28,3,2,18.38151230304185,128.716298727482,77.32984438399797,52.03317613056134,50.95191361275505,177.5263157894737,89.34736842105265,74.42105263157896,146.10526315789474,1627038.105263158,0.0,122.88381667027478,89.40531468392359,76.14854835230432,19.21522706356647,137.0,253.3,207.0,177.0,1431960.0
27,2020-09-28,20:00,Liverpool,Arsenal,3,1,H,Liverpool2020-09-28,Arsenal2020-09-28,3,3,35.84139178316148,127.25171055874725,74.37822245127046,168.82238165096325,16.95492238382259,239.75789473684213,173.04210526315788,293.89473684210526,218.5263157894737,9967588.947368423,44.92643133737084,103.62645671947311,26.791064287838264,136.8460392030562,128.25544100965203,158.81052631578953,97.26842105263158,116.89473684210526,172.89473684210526,5951172.421052632
